,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,"8 people killed, 25 wounded in bloody weekend in Chicago https://t.co/RZfwAoczGT",Tue May 29 00:09:27 +0000 2018,-0.8126,0.0,0.519,0.481
1,Fox News,A Purple Heart recipient is sharing his story in an effort to help other veterans battling opioid abuse. #TheStory https://t.co/Rp3LiZ2QCt,Tue May 29 00:06:25 +0000 2018,-0.2023,0.205,0.56,0.235
2,Fox News,".@kayleighmcenany: ""What was degrading to Americans was Benghazi...It is not degrading to enforce borders, raise ec… https://t.co/55IBt2L44L",Tue May 29 00:00:13 +0000 2018,-0.8225,0.0,0.664,0.336
3,Fox News,".@kayleighmcenany: ""Both Chelsea and [@HillaryClinton] have a very odd habit of insulting [Americans] by saying Pre… https://t.co/rHB228VBRm",Mon May 28 23:52:48 +0000 2018,-0.6997,0.0,0.707,0.293
4,Fox News,Alberto maintains strength as it makes landfall on Florida panhandle https://t.co/jMMvCePFB1 https://t.co/blYaxGQxQh,Mon May 28 23:43:30 +0000 2018,0.4939,0.225,0.775,0.0
5,Fox News,Subtropical Storm Alberto makes landfall on the Florida panhandle. #TheStory https://t.co/jMMvCePFB1 https://t.co/pnfMHB71pB,Mon May 28 23:42:38 +0000 2018,0.0,0.0,1.0,0.0
6,Fox News,".@jasoninthehouse on NK summit: ""@realDonaldTrump is leading from the front and it's peace through strength. It is… https://t.co/xe1Wlm3Xcz",Mon May 28 23:35:26 +0000 2018,0.7717,0.295,0.705,0.0
7,Fox News,"YJ Fischer on NK summit: ""President @realDonaldTrump would be very happy if he could get a deal as good as the Iran… https://t.co/Z8TnNwMaub",Mon May 28 23:31:10 +0000 2018,0.7841,0.256,0.744,0.0
8,Fox News,".@jasoninthehouse on NK summit: ""The very fact that they're actually having this dialogue, bringing home hostages,… https://t.co/ibSQXFPvLe",Mon May 28 23:27:23 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,"YJ Fischer on NK summit: ""I think the question is how @POTUS is going to use this time and is he going to prepare f… https://t.co/c4CXOJDpW0",Mon May 28 23:23:36 +0000 2018,0.0,0.0,1.0,0.0
10,Fox News,Virginia Rep. Tom Garrett reportedly not seek re-election: 'I'm an alcoholic' https://t.co/00TwlZwwk2,Mon May 28 23:16:32 +0000 2018,0.0,0.0,1.0,0.0
11,Fox News,"Christian Jacobs places a flower near the headstone of his father, Marine Sgt. Christopher Jacobs at Arlington Nati… https://t.co/AJdOq8PRN4",Mon May 28 23:07:58 +0000 2018,0.0,0.0,1.0,0.0
12,Fox News,"Karen Tumulty: ""One other thing that's going to be really important here [is] setting some realistic expectations f… https://t.co/ehtyAxzfD6",Mon May 28 23:01:46 +0000 2018,0.2716,0.104,0.896,0.0
13,Fox News,Gold Star Wife: Global War on Terrorism memorial is a dream come true for families of the fallen https://t.co/EBaycQO5Va,Mon May 28 22:54:28 +0000 2018,-0.802,0.167,0.451,0.382
14,Fox News,The @usairforce is seeking a medal of honor for a fallen sergeant. #ProudAmerican https://t.co/XDssLKnbEA,Mon May 28 22:46:55 +0000 2018,0.5859,0.354,0.506,0.14
15,Fox News,Veteran trying to reunite belongings with mystery @usairforce veteran #ProudAmerican https://t.co/WnaPZ5kuyu,Mon May 28 22:44:09 +0000 2018,0.0,0.0,1.0,0.0
16,Fox News,Las Vegas boycotts capital letters ahead of Stanley Cup finals against the Washington Capitals https://t.co/VaSqBx0SZV,Mon May 28 22:39:30 +0000 2018,-0.34,0.0,0.854,0.146
17,Fox News,"Moments ago, former President @GeorgeHWBush tweeted that he is ""forever grateful"" for the servicemen and women who… https://t.co/WtR9r071uh",Mon May 28 22:28:57 +0000 2018,0.4588,0.15,0.85,0.0
18,Fox News,World War II veteran posthumously honored with Purple Heart #ProudAmerican  https://t.co/O3RgI4jNNE,Mon May 28 22:09:28 +0000 2018,-0.0258,0.228,0.539,0.234
19,Fox News,Members of the United States Armed Forces unfurl a 100-foot American flag during the annual Memorial Day ceremony a… https://t.co/JjDqtJIUEd,Mon May 28 21:57:54 +0000 2018,0.4215,0.135,0.865,0.0
20,CNN,Pilot accused of kidnapping and trying to deport Chinese flight student https://t.co/f4tojoe2NN https://t.co/xgPK1yXjRJ,Tue May 29 00:00:06 +0000 2018,-0.296,0.0,0.845,0.155
21,CNN,Virginia Rep. Tom Garrett won't seek re-election to get treatment for alcoholism https://t.co/Ww81LU4F2c https://t.co/Cf69pM5frr,Mon May 28 23:45:08 +0000 2018,0.0,0.0,1.0,0.0
22,CNN,Parents of Parkland victims are outraged about a new video game that would let players shoot up a school… https://t.co/S0Uji89lZf,Mon May 28 23:30:10 +0000 2018,-0.802,0.0,0.647,0.353
23,CNN,Here's what you might have missed this Memorial Day on CNN https://t.co/L50p5iPBu4 https://t.co/scx1KIDF6Q,Mon May 28 23:15:01 +0000 2018,-0.296,0.0,0.845,0.155
24,CNN,Starbucks around the US are closing for anti-bias training https://t.co/AgHakhvYcj https://t.co/MFA5Q3TUYk,Mon May 28 23:00:16 +0000 2018,0.0,0.0,1.0,0.0
25,CNN,"After seeing two black men arrested in at a Starbucks in Philadelphia, Melissa DePino says she's ""finished tiptoein… https://t.co/grndY3KMHW",Mon May 28 22:30:04 +0000 2018,-0.4767,0.0,0.846,0.154
26,CNN,"They weren't going to play the National Anthem before a softball game, so fans started singing… https://t.co/4aUGSTIZKy",Mon May 28 22:00:08 +0000 2018,-0.2584,0.0,0.88,0.12
27,CNN,"Sgt. Eddison Hermond is missing after being swept away by historic flooding in Ellicott City, Maryland. Witnesses s… https://t.co/Wv9EI1uikz",Mon May 28 21:45:20 +0000 2018,-0.296,0.0,0.891,0.109
28,CNN,Misty Copeland is the first female African-American principal dancer in the American Ballet Theatre. She says partn… https://t.co/JVUleLrzZH,Mon May 28 21:45:00 +0000 2018,0.0,0.0,1.0,0.0
29,CNN,"The best things to do in Guadalajara, Mexico https://t.co/gnMB7RyWDB https://t.co/rMBR2CFs2l",Mon May 28 21:34:33 +0000 2018,0.6369,0.318,0.682,0.0
30,CNN,"Rapper Falz's ""This is Nigeria"" video holds up a mirror for the country https://t.co/1xvMdztVpx https://t.co/qq0BbJWqjQ",Mon May 28 21:15:05 +0000 2018,0.0,0.0,1.0,0.0
31,CNN,JUST IN: Subtropical Storm Alberto is making landfall in Florida and will continue to bring a flood threat to the s… https://t.co/fqE6SeWjvc,Mon May 28 21:00:48 +0000 2018,-0.5267,0.0,0.855,0.145
32,CNN,This young Malian migrant is being lauded in France after he scaled the outside of a building in Paris to rescue a… https://t.co/7deUsBh1oM,Mon May 28 20:46:03 +0000 2018,0.5106,0.136,0.864,0.0
33,CNN,"Aerial footage from Hawaii shows lava encroaching on a geothermal plant. As of Friday, the oozing lava had destroye… https://t.co/pDyzigz1EZ",Mon May 28 20:30:49 +0000 2018,0.0,0.0,1.0,0.0
34,CNN,President Trump ramps up pressure to get North Korea summit on track https://t.co/A5XjmuvRf3 https://t.co/2T2OGVVbhO,Mon May 28 20:15:04 +0000 2018,-0.296,0.0,0.855,0.145
35,CNN,A teacher in Georgia responded the only way she knew how after receiving a letter from President Trump filled with… https://t.co/dyvHqnN7aR,Mon May 28 20:00:05 +0000 2018,0.0,0.0,1.0,0.0
36,CNN,Ivanka Trump granted 7 new trademarks in China https://t.co/3KopiwxcgW https://t.co/SaEiTRFphP,Mon May 28 19:43:04 +0000 2018,0.25,0.2,0.8,0.0
37,CNN,"Rumors that Nicki Minaj was dating Emimen started flying after a new song featuring Minaj dropped. But, alas, it al… https://t.co/EuIpQtVpRT",Mon May 28 19:37:05 +0000 2018,-0.2732,0.0,0.9,0.1
38,CNN,Thinking about buying an annuity? Here are the actual costs https://t.co/CWNxhQsvV8 https://t.co/fcgJ6ulH3h,Mon May 28 19:29:05 +0000 2018,0.0,0.0,1.0,0.0
39,CNN,Ivanka Trump is facing backlash for posting this photo of herself embracing her 2-year-old son amid reports of fami… https://t.co/VnZinlSGvF,Mon May 28 19:22:00 +0000 2018,0.0,0.0,1.0,0.0
40,BBC News (World),'I want to produce the world's best cannabis' https://t.co/jRTHot3cbA,Mon May 28 23:34:13 +0000 2018,0.6705,0.44,0.56,0.0
41,BBC News (World),South African 'world's oldest man' wants to stop smoking https://t.co/GPE3btX8YB,Mon May 28 23:34:13 +0000 2018,-0.296,0.0,0.804,0.196
42,BBC News (World),Meet the Kenyan priest rapping about religion https://t.co/TMQedoJ7pg,Mon May 28 23:24:30 +0000 2018,0.0,0.0,1.0,0.0
43,BBC News (World),Police filmed punching woman in New Jersey beach arrest https://t.co/GDLaUDAyOR,Mon May 28 22:22:41 +0000 2018,-0.34,0.0,0.789,0.211
44,BBC News (World),Police officer filmed punching woman on New Jersey beach https://t.co/rjpPQNxM5m,Mon May 28 21:31:04 +0000 2018,0.0,0.0,1.0,0.0
45,BBC News (World),US child migrants: Ivanka's mother and child photo sparks backlash https://t.co/scoTSI0m5a,Mon May 28 18:05:57 +0000 2018,0.0,0.0,1.0,0.0
46,BBC News (World),Roman Abramovich 'eligible to become Israeli citizen' https://t.co/anPHXLoAwS,Mon May 28 17:58:54 +0000 2018,0.0,0.0,1.0,0.0
47,BBC News (World),Solo Star Wars film underwhelms at box office https://t.co/uuoBdGcLSw,Mon May 28 17:03:33 +0000 2018,-0.5574,0.0,0.69,0.31
48,BBC News (World),The mysterious musician who wears a mask... do you know who's behind it? 🤔 https://t.co/0Hy8iNhjJN,Mon May 28 16:49:03 +0000 2018,0.0,0.0,1.0,0.0
49,BBC News (World),"Serge Dassault, French billionaire entrepreneur, dies at 93 https://t.co/3r0d0m9U5j",Mon May 28 16:40:19 +0000 2018,0.0,0.0,1.0,0.0
50,BBC News (World),Austria unveils plan to cut benefits for immigrants https://t.co/BPlM0865ZY,Mon May 28 15:40:08 +0000 2018,0.128,0.222,0.598,0.179
51,BBC News (World),China Mao impersonator at blockchain conference causes furore https://t.co/wbVGO8ZPry,Mon May 28 15:14:21 +0000 2018,0.0,0.0,1.0,0.0
52,BBC News (World),One million French smokers quit in a year amid anti-smoking measures https://t.co/dI1DLjeT4l,Mon May 28 14:41:53 +0000 2018,0.0,0.0,1.0,0.0
53,BBC News (World),"RT @BBCIndia: A new expose claims to strike at a key pillar of Indian democracy - the freedom of the press @BBCJustinR 

https://t.co/OmbUq…",Mon May 28 14:36:16 +0000 2018,0.4767,0.173,0.7,0.128
54,BBC News (World),Mamoudou Gassama: Migration in the genes of Malians https://t.co/DqN7Fdjoqq,Mon May 28 14:32:36 +0000 2018,0.0,0.0,1.0,0.0
55,BBC News (World),Head of Kenya youth agency arrested in $78m corruption scandal https://t.co/R4bcYKsJh2,Mon May 28 14:11:40 +0000 2018,-0.7184,0.0,0.6,0.4
56,BBC News (World),S Africa name first black rugby Test captain https://t.co/M4EHdFLYw9,Mon May 28 13:32:18 +0000 2018,0.0,0.0,1.0,0.0
